"ITEM","LOC","SELLING_UNIT_RETAIL","LOCAL_SHORT_DESC","PACKAGE_SIZE","PACKAGE_UOM","CATEGORIA","CATEGORIA_NOMBRE"
"041789008016","54520","7.5","Ottima Arrabiat93.4g","1","EA","288","Comida Deshidratada"
"041789008030","54520","7.5","Maruc Ott Queso93.4g","1","EA","288","Comida Deshidratada"
"042743230511","54520","65","Maiz blanco el mex 3","1","EA","192","Alimentos Envasados"
"0606110315203","54520","20","Datos FP $20","1","EA","300","TiempoAireElectronic"
"0606110315227","54520","50","TAE FreedomPop $50","1","EA","300","TiempoAireElectronic"
"0606110315234","54520","100","TAE FreedomPop $100","1","EA","300","TiempoAireElectronic"
"0606110315241","54520","200","TAE FreedomPop $200","1","EA","300","TiempoAireElectronic"
"0606110315258","54520","120","Datos FP $120","1","EA","300","TiempoAireElectronic"
"0606110315265","54520","70","Plan Mini FP $70","1","EA","300","TiempoAireElectronic"
"0606110315272","54520","150","TAE FreedomPop $150","1","EA","300","TiempoAireElectronic"
"0614143200700","54520","30","TAE FreedomPop $30","1","EA","300","TiempoAireElectronic"
"0614143200717","54520","80","TAE FreedomPop $80","1","EA","300","TiempoAireElectronic"
"067238891190","54520","36.9","DOVE JBN HUMEC 135G","1","EA","231","Jabones de tocador"
"070662043103","54520","7.5","Nissin Ramen Camaron","85","G","288","Comida Deshidratada"
"070662140123","54520","12.5","NISSIN CAMARON PIC64","64","G","288","Comida Deshidratada"
"070662141229","54520","12.5","SopaNissCupNoodCamHa","64","G","288","Comida Deshidratada"
"070662242025","54520","12.5","SopaNissCupNoodCamBo","64","G","288","Comida Deshidratada"
"070662247150","54520","12.5","NISSIN INTE DIABLO64","64","G","288","Comida Deshidratada"
"070847035916","54520","40","Monster Energy 473ml","473","ML","263","Energeticos"
"07432354","54520","15","BUBULUBU 35 GR","35","G","257","Otras Golosinas"
"076750172922","54520","0.01","BH - Xbox 200 2015","1","EA","156","Soluciones en tienda"
"076750172939","54520","0.01","BH - Xbox 300 2015","1","EA","156","Soluciones en tienda"
"076750226755","54520","0.01","GOOGLE 200-5000MXN","10","EA","156","Soluciones en tienda"
"076750236129","54520","0.01","XBOX 3M 349MXN 2017","10","EA","327","Comercio Electronico"
"076750236136","54520","0.01","XBOX 1M 139MXN 2017","10","EA","327","Comercio Electronico"
"076750267161","54520","0.01","GOOGLE NIVARIABLE","10","EA","156","Soluciones en tienda"
"0802","54520","120","Jamondepierna FUD kg","6","KG","244","Carnes Frias"
"085000001509","54520","99","BoonesDuraz 750ml","1","EA","113","Baja Graduacion"
"085000003503","54520","99","Boones Exotic 750ml","750","ML","113","Baja Graduacion"
"089826001415","54520","22","TECATE 473ML","1","EA","110","Cerveza No retornab"
"097339000054","54520","18.5","Valentina Roja 370ml","1","EA","169","Salsas Botaneras"
"0984","54520","334","PechNatPavoCapistra","1","EA","244","Carnes Frias"
"10003","54520","0","Pelicula vitafilm 45","1","EA","9000","Consumo Interno"
"100074437","54520","5","Luz CFE NEO","1","EA","155","Recepcion de Pagos"
"100074445","54520","5","SAPAL Leon NEO","1","EA","155","Recepcion de Pagos"
"100142831","54520","0","Alestra NAC","1","EA","155","Recepcion de Pagos"
"100153856","54520","5","Telcel NAC","1","EA","155","Recepcion de Pagos"
"100184003","54520","0","Patrimonio Hipotecar","1","EA","155","Recepcion de Pagos"
"100438190","54520","0","Casefon Bara Leon","1","EA","156","Soluciones en tienda"
"100543395","54520","0","JAPAMI NEO","1","EA","155","Recepcion de Pagos"
"100691380","54520","0","Dinamo NAC","1","EA","155","Recepcion de Pagos"
"100912390","54520","0","Axtel NAC","1","EA","155","Recepcion de Pagos"
"100956608","54520","0","Homex NAC","1","EA","155","Recepcion de Pagos"
"100964501","54520","8.2","NO USAR","1","EA","155","Recepcion de Pagos"
"100990486","54520","0","Volaris NAC","1","EA","155","Recepcion de Pagos"
"101068493","54520","6.4","ASP Financiera NAC","1","EA","155","Recepcion de Pagos"
"101097497","54520","0","Dineromail NAC","1","EA","327","Comercio Electronico"
"101108491","54520","0","Financiera Indep NAC","1","EA","155","Recepcion de Pagos"
"101118497","54520","0","Cablemas NAC","1","EA","155","Recepcion de Pagos"
"101146498","54520","0","Megacable NAC","1","EA","155","Recepcion de Pagos"
"101148493","54520","0","Solfi NAC","1","EA","155","Recepcion de Pagos"
"101163491","54520","0","Molina Editores NAC","1","EA","155","Recepcion de Pagos"
"101165496","54520","0","VivaAerobus NAC","1","EA","155","Recepcion de Pagos"
"101186490","54520","0","Ediciones Culturales","1","EA","155","Recepcion de Pagos"
"101198491","54520","0","Casas Javer NAC","1","EA","155","Recepcion de Pagos"
"101198503","54520","0","Hogares Javer NAC","1","EA","155","Recepcion de Pagos"
"101219520","54520","0","Casefon NAC","1","EA","156","Soluciones en tienda"
"101221494","54520","0","Hogares Javer Sem NA","1","EA","155","Recepcion de Pagos"
"101264515","54520","0","Jardines Esperanza N","1","EA","155","Recepcion de Pagos"
"101264523","54520","0","Previsiones NAC","1","EA","155","Recepcion de Pagos"
"101265500","54520","0","Inversiones Fun NAC","1","EA","155","Recepcion de Pagos"
"101265518","54520","0","Martinez Servicios","1","EA","155","Recepcion de Pagos"
"101266490","54520","0","La Esperanza Servici","1","EA","155","Recepcion de Pagos"
"101267492","54520","0","HDI Seguros NAC","1","EA","155","Recepcion de Pagos"
"101267505","54520","0","JardinesSantoCristo","1","EA","155","Recepcion de Pagos"
"101268495","54520","0","PCENLINEA NAC","1","EA","327","Comercio Electronico"
"101274502","54520","0","Grupo Ruba NAC","1","EA","155","Recepcion de Pagos"
"101274511","54520","0","CreditoRealTradNAC","1","EA","155","Recepcion de Pagos"
"101274537","54520","0","CREDIEQUIPOS II NAC","1","EA","155","Recepcion de Pagos"
"101298504","54520","0","MercadoPago NAC","1","EA","327","Comercio Electronico"
"101300504","54520","0","Fotosmile NAC","1","EA","327","Comercio Electronico"
"101316493","54520","0","Donativos","1","EA","155","Recepcion de Pagos"
"101334499","54520","0","Neurona Estudio NAC","1","EA","327","Comercio Electronico"
"101344494","54520","0","Financiera Mex Autom","1","EA","155","Recepcion de Pagos"
"101344515","54520","0","Financiera Mex Carne","1","EA","155","Recepcion de Pagos"
"101344523","54520","0","Financiera Mex Perso","1","EA","155","Recepcion de Pagos"
"101345497","54520","0","Financiera Mex Hipot","1","EA","155","Recepcion de Pagos"
"101351512","54520","0","Banwire Mexico NA","1","EA","327","Comercio Electronico"
"101354511","54520","0","Primero Seguros NAC","1","EA","155","Recepcion de Pagos"
"101355505","54520","0","Primero Seguros Vida","1","EA","155","Recepcion de Pagos"
"101361497","54520","0","Grupo CIF NAC","1","EA","155","Recepcion de Pagos"
"101362490","54520","0","Depositos BBVA NAC","1","EA","157","Servicio Financiero"
"101363492","54520","0","Credito Fincomun NAC","1","EA","155","Recepcion de Pagos"
"101366491","54520","0","Argenta NAC","1","EA","155","Recepcion de Pagos"
"101366503","54520","0","Pedidos.com NAC","1","EA","327","Comercio Electronico"
"101373498","54520","0","Tamauligas NAC","1","EA","155","Recepcion de Pagos"
"101373501","54520","0","Maxigas Nac","1","EA","155","Recepcion de Pagos"
"101373519","54520","0","Natgas Nac","1","EA","155","Recepcion de Pagos"
"101373527","54520","0","Tractebel  NAC","1","EA","155","Recepcion de Pagos"
"101373535","54520","0","Tractebel DIGAQRO NA","1","EA","155","Recepcion de Pagos"
"101374491","54520","0","Tractebel GNP NAC","1","EA","155","Recepcion de Pagos"
"101375493","54520","0","Eventioz NAC","1","EA","155","Recepcion de Pagos"
"101377499","54520","0","Autosummit Nac","1","EA","155","Recepcion de Pagos"
"101378491","54520","0","Tec Depot NAC","1","EA","155","Recepcion de Pagos"
"101379494","54520","0","Agua CMAPAS NEO","1","EA","155","Recepcion de Pagos"
"101381498","54520","0","Su Auto NAC","1","EA","155","Recepcion de Pagos"
"101384496","54520","0","Europcar NAC","1","EA","327","Comercio Electronico"
"101399495","54520","0","ABC Capital NAC","1","EA","155","Recepcion de Pagos"
"101399508","54520","0","Ultravision NAC","1","EA","155","Recepcion de Pagos"
"101404557","54520","0","Predial Irapuato Bar","1","EA","155","Recepcion de Pagos"
"101414510","54520","0","Buly NAC","1","EA","327","Comercio Electronico"
"101414544","54520","0","FINSOL NAC","1","EA","155","Recepcion de Pagos"
"101415651","54520","349","BH-XBOX LIVE 349 NAC","1","EA","156","Soluciones en tienda"
"101415686","54520","0","Aula 365 NAC","1","EA","155","Recepcion de Pagos"
"101417534","54520","0","Soul and Blues NAC","1","EA","327","Comercio Electronico"
"101419530","54520","0","Nextel NAC","1","EA","155","Recepcion de Pagos"
"101420573","54520","0","Reforma NAC","1","EA","155","Recepcion de Pagos"
"101424531","54520","0","ETN SA DE CV NAC","1","EA","156","Soluciones en tienda"
"101424540","54520","0","Turistar Cinco Estre","1","EA","156","Soluciones en tienda"
"101424558","54520","0","OMNIBUS NAC","1","EA","156","Soluciones en tienda"
"101425534","54520","0","LOREAL NAC","1","EA","155","Recepcion de Pagos"
"101429535","54520","0","Depositos Banamex NA","1","EA","157","Servicio Financiero"
"101434545","54520","0","SR. PAGO NAC","1","EA","327","Comercio Electronico"
"101435556","54520","0","FINANLIFE NAC","1","EA","155","Recepcion de Pagos"
"101436541","54520","0","Vinculo NAC","1","EA","155","Recepcion de Pagos"
"101438571","54520","0","MiPCcom NAC","1","EA","327","Comercio Electronico"
"101440558","54520","0","Financiera Indep NAC","1","EA","155","Recepcion de Pagos"
"101441534","54520","0","Readers Digest NAC","1","EA","155","Recepcion de Pagos"
"101441542","54520","0","INSTAL NAC","1","EA","155","Recepcion de Pagos"
"101442537","54520","0","Sistemas Educativos","1","EA","155","Recepcion de Pagos"
"101442545","54520","0","FINESTRELLA NAC","1","EA","155","Recepcion de Pagos"
"101443548","54520","0","Pago Agua CAASA NEO","1","EA","155","Recepcion de Pagos"
"101443572","54520","0","CHARTIS SEGUROS NAC","1","EA","155","Recepcion de Pagos"
"101450553","54520","0","PASA NAC","1","EA","155","Recepcion de Pagos"
"101451556","54520","0","LA OPERADORA NAC","1","EA","155","Recepcion de Pagos"
"101452559","54520","0","NetShoes NAC","1","EA","327","Comercio Electronico"
"101453535","54520","0","Aqua NAC","1","EA","155","Recepcion de Pagos"
"101455549","54520","0","Deposito Scotiabank","1","EA","157","Servicio Financiero"
"101456533","54520","0","Star CableTamps NAC","1","EA","155","Recepcion de Pagos"
"101458539","54520","0","PEPSA NAC","1","EA","155","Recepcion de Pagos"
"101459540","54520","0","UNIVIA NAC","1","EA","155","Recepcion de Pagos"
"101461535","54520","0","PERDURA NAC","1","EA","155","Recepcion de Pagos"
"101461551","54520","0","Tertius NAC","1","EA","155","Recepcion de Pagos"
"101461560","54520","0","CIISA NAC","1","EA","155","Recepcion de Pagos"
"101461578","54520","0","CUARA NAC","1","EA","155","Recepcion de Pagos"
"101461607","54520","0","ZENDERE NAC","1","EA","155","Recepcion de Pagos"
"101461703","54520","0","Servicio Motociclist","1","EA","155","Recepcion de Pagos"
"101461720","54520","0","GLOBO NAC","1","EA","155","Recepcion de Pagos"
"101462706","54520","0","Dish NAC","1","EA","155","Recepcion de Pagos"
"101464710","54520","0","EL SOL NAC","1","EA","155","Recepcion de Pagos"
"101465721","54520","0","PayU Latam","1","EA","327","Comercio Electronico"
"101467734","54520","0","Running NAC","1","EA","327","Comercio Electronico"
"101470781","54520","0","TAP NAC","1","EA","156","Soluciones en tienda"
"101470802","54520","0","Megacable Online NAC","1","EA","155","Recepcion de Pagos"
"101470811","54520","0","PARHIKUNI NAC","1","EA","156","Soluciones en tienda"
"101470829","54520","0","Depositos Saldazo NA","1","EA","157","Servicio Financiero"
"101472841","54520","0","Serv. Retiro Saldazo","1","EA","157","Servicio Financiero"
"101473851","54520","0","FINANCIERA NOSOTRAS","1","EA","155","Recepcion de Pagos"
"101474838","54520","0","Vinculo Cultural Cua","1","EA","155","Recepcion de Pagos"
"101474854","54520","0","INTERJET NAC","1","EA","155","Recepcion de Pagos"
"101475831","54520","0","PAYMENTEZ NAC","1","EA","327","Comercio Electronico"
"101475849","54520","0","Autovias La Linea NA","1","EA","156","Soluciones en tienda"
"101478880","54520","0","Giftcard OXXO 150","1","EA","327","Comercio Electronico"
"101479874","54520","0","DAFITI NAC","1","EA","327","Comercio Electronico"
"101480859","54520","0","Princess NAC","1","EA","327","Comercio Electronico"
"101481860","54520","0","CREDITO UTIL NAC","1","EA","155","Recepcion de Pagos"
"101481878","54520","0","PEPSA REPECO NAC","1","EA","155","Recepcion de Pagos"
"101481886","54520","0","Readers Digest II NA","1","EA","155","Recepcion de Pagos"
"101483929","54520","0","Deposito Transfer BN","1","EA","157","Servicio Financiero"
"101483937","54520","0","Deposito Movil BBVA","1","EA","157","Servicio Financiero"
"101484850","54520","0","Servicio Tecnico Cen","1","EA","155","Recepcion de Pagos"
"101486863","54520","0","Megacable Online Ref","1","EA","155","Recepcion de Pagos"
"101486871","54520","0","INTERFACTURA NAC","1","EA","327","Comercio Electronico"
"101489861","54520","0","CHIHUAHUENSES NAC","1","EA","156","Soluciones en tienda"
"101489870","54520","0","ELITE NAC","1","EA","156","Soluciones en tienda"
"101489896","54520","0","FUTURA NAC","1","EA","156","Soluciones en tienda"
"101495866","54520","0","FastAdmin NAC","1","EA","327","Comercio Electronico"
"101496869","54520","0","SKY ONLINE NAC","1","EA","155","Recepcion de Pagos"
"101496877","54520","0","SKY ONLINE NAC","1","EA","155","Recepcion de Pagos"
"101496885","54520","0","TRACTICAL NAC","1","EA","327","Comercio Electronico"
"101496906","54520","0","PRICE TRAVEL NAC","1","EA","155","Recepcion de Pagos"
"101496922","54520","0","INNOVA SPORT NAC","1","EA","327","Comercio Electronico"
"101502860","54520","0","SCRAP II NAC","1","EA","155","Recepcion de Pagos"
"101503862","54520","0","Recarga Pagobus GTO","1","EA","158","Servicios prepago"
"101508866","54520","0","SEGUROS AFIRME NAC","1","EA","155","Recepcion de Pagos"
"101514879","54520","0","Consulta SKY","1","EA","155","Recepcion de Pagos"
"101514887","54520","0","VC BAJIO NAC","1","EA","155","Recepcion de Pagos"
"101515871","54520","0","Deposito Santander N","1","EA","157","Servicio Financiero"
"101517893","54520","0","LITOPROCESS NAC","1","EA","155","Recepcion de Pagos"
"101518870","54520","0","SOFIPA NAC","1","EA","155","Recepcion de Pagos"
"101520865","54520","0","BLEN NAC","1","EA","327","Comercio Electronico"
"101520911","54520","0","RUNNING DECORA NAC","1","EA","327","Comercio Electronico"
"101522861","54520","0","AEROMEXICO NAC","1","EA","155","Recepcion de Pagos"
"101524874","54520","0","CABLEMAS ONLINE REF","1","EA","155","Recepcion de Pagos"
"101524882","54520","0","CABLEMAS ONLINE","1","EA","155","Recepcion de Pagos"
"101524938","54520","0","RS FINANCIERA NAC","1","EA","155","Recepcion de Pagos"
"101524989","54520","0","BOUTECH NAC","1","EA","327","Comercio Electronico"
"101525025","54520","0","AUTO TRADER NAC","1","EA","327","Comercio Electronico"
"101526010","54520","0","D LEMI NAC","1","EA","155","Recepcion de Pagos"
"101527899","54520","0","PATRIMONIO HOY NAC","1","EA","155","Recepcion de Pagos"
"101527901","54520","0","PREDIAL GUANAJUATO","1","EA","155","Recepcion de Pagos"
"101529878","54520","0","BAFAMSA NAC","1","EA","155","Recepcion de Pagos"
"101533877","54520","0","INSIGNIA LIFE NAC","1","EA","155","Recepcion de Pagos"
"101539873","54520","0","CONEKTA NAC","1","EA","327","Comercio Electronico"
"101540882","54520","0","TDN NAC","1","EA","155","Recepcion de Pagos"
"101542888","54520","0","PDCS NAC","1","EA","155","Recepcion de Pagos"
"101543872","54520","0","SEGUROS MI AUTO NAC","1","EA","155","Recepcion de Pagos"
"101543881","54520","0","EQUIPATE NAC","1","EA","155","Recepcion de Pagos"
"101543910","54520","0","Consulta Price Trave","1","EA","155","Recepcion de Pagos"
"101543928","54520","0","PRICE TRAVEL ONLINE","1","EA","155","Recepcion de Pagos"
"101543936","54520","0","SCALA STUDENT NAC","1","EA","155","Recepcion de Pagos"
"101544867","54520","0","SCALA HIGHER NAC","1","EA","155","Recepcion de Pagos"
"101544891","54520","0","EVANGELIZACION NAC","1","EA","327","Comercio Electronico"
"101547873","54520","0","Envia Regalo NAC","1","EA","327","Comercio Electronico"
"101550992","54520","0","TRAVELER NAC","1","EA","155","Recepcion de Pagos"
"101551899","54520","0","Maraton Powerade","1","EA","155","Recepcion de Pagos"
"101551936","54520","0","Progr Didactica Avan","1","EA","155","Recepcion de Pagos"
"101552891","54520","0","Editorial Santillana","1","EA","155","Recepcion de Pagos"
"101553907","54520","0","Credito CAME","1","EA","155","Recepcion de Pagos"
"101553915","54520","0","Bienestar AC","1","EA","155","Recepcion de Pagos"
"101556948","54520","0","BH- NINTENDO 200","1","EA","327","Comercio Electronico"
"101560955","54520","0","Capa de Ozono","1","EA","327","Comercio Electronico"
"101561931","54520","0","BH- SPOTIFY 300","1","EA","327","Comercio Electronico"
"101561958","54520","0","Casas Javer Mexico","1","EA","155","Recepcion de Pagos"
"101563937","54520","0","Be Prisma","1","EA","327","Comercio Electronico"
"101564921","54520","0","Casas Javer Queretar","1","EA","155","Recepcion de Pagos"
"101566927","54520","0","Infospace","1","EA","327","Comercio Electronico"
"101566943","54520","0","Telecable","1","EA","155","Recepcion de Pagos"
"101567946","54520","0","SOMIC","1","EA","155","Recepcion de Pagos"
"101570926","54520","0","Nuugi","1","EA","327","Comercio Electronico"
"101574943","54520","0","Ecotravel","1","EA","155","Recepcion de Pagos"
"101575920","54520","0","AXTEL Contrataciones","1","EA","155","Recepcion de Pagos"
"101576922","54520","0","Petbox","1","EA","327","Comercio Electronico"
"101579921","54520","0","Por una Lanita","1","EA","155","Recepcion de Pagos"
"101580921","54520","0","Mundo Granjero & Zoo","1","EA","155","Recepcion de Pagos"
"101583920","54520","0","Aliat Red Univercom","1","EA","155","Recepcion de Pagos"
"101590927","54520","0","El Gran Tlapalero","1","EA","327","Comercio Electronico"
"101592922","54520","0","PROAPOYO","1","EA","155","Recepcion de Pagos"
"101596923","54520","0","LI Financiera","1","EA","155","Recepcion de Pagos"
"101597977","54520","0","Tech Advanced","1","EA","327","Comercio Electronico"
"101598953","54520","0","Superchambitas","1","EA","327","Comercio Electronico"
"101598996","54520","0","Finprospera","1","EA","155","Recepcion de Pagos"
"101599075","54520","349","BH-XBOX Gold 349","1","EA","156","Soluciones en tienda"
"101603960","54520","0","UNIVERSIDAD HUMANITA","1","EA","155","Recepcion de Pagos"
"101606950","54520","0","Telecable","1","EA","155","Recepcion de Pagos"
"101611038","54520","0","CONSULTA VIVAAEROBUS","1","EA","155","Recepcion de Pagos"
"101611046","54520","0","Tiempo Oficial","1","EA","155","Recepcion de Pagos"
"101612954","54520","0","Provident","1","EA","155","Recepcion de Pagos"
"101614976","54520","0","Broxel","1","EA","155","Recepcion de Pagos"
"101614984","54520","0","Conexion Mexico","1","EA","155","Recepcion de Pagos"
"101615944","54520","0","Vivaaerobus en linea","1","EA","155","Recepcion de Pagos"
"101616947","54520","0","Altitud SOFOM","1","EA","155","Recepcion de Pagos"
"101617940","54520","0","Gamers","1","EA","327","Comercio Electronico"
"101618942","54520","0","PPRO","1","EA","327","Comercio Electronico"
"101619953","54520","0","Solfi","1","EA","155","Recepcion de Pagos"
"101620954","54520","0","24 Supermarket","1","EA","327","Comercio Electronico"
"101623944","54520","0","Coveg","1","EA","155","Recepcion de Pagos"
"101624947","54520","0","Super Fitness Damas","1","EA","155","Recepcion de Pagos"
"101624963","54520","0","Boca Rosa","1","EA","327","Comercio Electronico"
"101625940","54520","0","Consorcio HogarDeSin","1","EA","155","Recepcion de Pagos"
"101628956","54520","0","Alteq Construcciones","1","EA","155","Recepcion de Pagos"
"101628964","54520","0","Promotora Inmob de N","1","EA","155","Recepcion de Pagos"
"101629941","54520","0","Kiwi","1","EA","155","Recepcion de Pagos"
"10163","54520","14","Envase 1 Lt CC PZ","1","EA","128","Envases Refrescos"
"101631012","54520","0","Asefimex","1","EA","155","Recepcion de Pagos"
"101632120","54520","0","Lega Print","1","EA","327","Comercio Electronico"
"101632171","54520","0.01","Los Boletos mas Bara","1","EA","155","Recepcion de Pagos"
"101632197","54520","0.01","Royal Prestige","1","EA","155","Recepcion de Pagos"
"101632200","54520","0.01","Quality Health","1","EA","327","Comercio Electronico"
"101632234","54520","0","Loly in the Sky","1","EA","327","Comercio Electronico"
"101632947","54520","0.01","Libertad Serv Financ","1","EA","155","Recepcion de Pagos"
"101632955","54520","0","Libertad Servicios F","1","EA","155","Recepcion de Pagos"
"101632998","54520","0","Cummins Alesso","1","EA","327","Comercio Electronico"
"101633000","54520","0","Consulta Cummins Ale","1","EA","327","Comercio Electronico"
"101633026","54520","0","Dish en linea CB","1","EA","155","Recepcion de Pagos"
"101633034","54520","0","Dish en linea","1","EA","155","Recepcion de Pagos"
"101633042","54520","0","Dish en linea CB Con","1","EA","155","Recepcion de Pagos"
"101633051","54520","0","Dish en linea Consul","1","EA","155","Recepcion de Pagos"
"101633114","54520","0.01","Crediconfia","1","EA","155","Recepcion de Pagos"
"101634942","54520","0","Consulta Cummins de","1","EA","327","Comercio Electronico"
"101635081","54520","0","Consulta Cummins Meg","1","EA","327","Comercio Electronico"
"101636948","54520","0.01","Editorial Mediterran","1","EA","155","Recepcion de Pagos"
"101636964","54520","0.01","Kueski","1","EA","155","Recepcion de Pagos"
"101636972","54520","0","Anahuac AHC","1","EA","327","Comercio Electronico"
"101637027","54520","0.01","Astro Pay","1","EA","327","Comercio Electronico"
"101637158","54520","0.01","TiendaTek","1","EA","327","Comercio Electronico"
"101637174","54520","0.01","Habitat ","1","EA","155","Recepcion de Pagos"
"101637941","54520","0.01","ITEL","1","EA","155","Recepcion de Pagos"
"101638960","54520","0.01","Andre Badi","1","EA","327","Comercio Electronico"
"101638978","54520","0.01","Nuovo","1","EA","327","Comercio Electronico"
"101639081","54520","0","AT&T AN CB en Linea","1","EA","155","Recepcion de Pagos"
"101639090","54520","0","AT&T ANR Cuentas y D","1","EA","155","Recepcion de Pagos"
"101639102","54520","0","Consulta AT&T ANR Cu","1","EA","155","Recepcion de Pagos"
"101639217","54520","0","Consulta AT&T AN CB","1","EA","155","Recepcion de Pagos"
"101639962","54520","0","Cablecom en Linea CB","1","EA","155","Recepcion de Pagos"
"101639989","54520","0","ConsultaCablecomLine","1","EA","155","Recepcion de Pagos"
"101639997","54520","0","Consulta Cablecom Li","1","EA","155","Recepcion de Pagos"
"101640015","54520","0","Linio en Linea","1","EA","327","Comercio Electronico"
"101640023","54520","0","Consulta Linio en Li","1","EA","327","Comercio Electronico"
"101640031","54520","0.01","Arsenal","1","EA","327","Comercio Electronico"
"101640074","54520","0.01","Castalia","1","EA","327","Comercio Electronico"
"101640103","54520","0.01","SI UC Microcreditos","1","EA","155","Recepcion de Pagos"
"101643945","54520","0.01","Ebanx","1","EA","327","Comercio Electronico"
"101646986","54520","0","Deposito Banbajio","1","EA","157","Servicio Financiero"
"101647006","54520","0.01","SICREA NISSAN","1","EA","155","Recepcion de Pagos"
"101647022","54520","0","Consulta Telmex en L","1","EA","155","Recepcion de Pagos"
"101647073","54520","0.01","Monumento a la Legal","1","EA","155","Recepcion de Pagos"
"101649941","54520","0","Carrera Chihuahua","1","EA","155","Recepcion de Pagos"
"101650037","54520","0.01","Afirme UCM","1","EA","155","Recepcion de Pagos"
"101650192","54520","0.01","Transpais","1","EA","156","Soluciones en tienda"
"101650205","54520","0.01","Edilar","1","EA","155","Recepcion de Pagos"
"101650256","54520","0.01","Inhumaciones San Fel","1","EA","155","Recepcion de Pagos"
"101650281","54520","0.01","SGS Soluciones a tu ","1","EA","155","Recepcion de Pagos"
"101650301","54520","0.01","Diaphan Elements","1","EA","327","Comercio Electronico"
"101650361","54520","0.01","Somos Uno Microcredi","1","EA","155","Recepcion de Pagos"
"101650942","54520","0.01","Editorial Televisa","1","EA","155","Recepcion de Pagos"
"101651945","54520","0.01","Credito Maestro","1","EA","155","Recepcion de Pagos"
"101652948","54520","0.01","Marketing True Kingd","1","EA","327","Comercio Electronico"
"101652999","54520","0.01","Orbe Financiera","1","EA","155","Recepcion de Pagos"
"101653123","54520","0","Aprecia Financiera","1","EA","155","Recepcion de Pagos"
"101653246","54520","0.01","Dalfiori","1","EA","327","Comercio Electronico"
"101653941","54520","0.01","Cablevision","1","EA","155","Recepcion de Pagos"
"101653959","54520","0.01","Cablevision","1","EA","155","Recepcion de Pagos"
"101653991","54520","0","Cablevision","1","EA","155","Recepcion de Pagos"
"101655006","54520","0","IZZI","1","EA","155","Recepcion de Pagos"
"101655954","54520","0.01","Cuotas Mantenimiento","1","EA","155","Recepcion de Pagos"
